"file_name","file_path","hash_md5","hash_sha1","hash_sha256","hash_sha384","hash_sha512","hash_ssdeep","signature_status","signature_status_message","signature_serial","signature_thumbprint","signature_issuer","signature_subject","meta_description","meta_original_filename","meta_product_name","meta_comments","meta_company_name","meta_file_version","meta_product_version","meta_language","meta_legal_copyright","meta_legal_trademarks","output","error","children"
"acu.exe","C:\Windows\system32\acu.exe","5A62052F6F1D9E8B5BD1485ADD99E5A0","C9DD6471F40307D2014DF8EC5F6DDD1E1F7978A4","02C641F75E43000FD19A82BF12949C40F0E4AE4C7C8A9BBB3725B1537187AD69","1B774ACFC98ED1663CFB2947E6E464A6CE4886004CADA3CF7E816E338C7211C3E096D4F9D831B2422CC2F65A00E70A49","CD28F6D7E513A0FEBCE3048A118D3094EFDB75EAB0638485D71C5A7D6BE0CFB6735AE72377574624BE59E3D78D80743B58966D255331CA2F8CC6A4C7908380E6","384:Xy2s+fssUg+OSxhDs9W9DA+YvrQKahZNisVUmDsVltVk0dvaeT7QCbmwDV7wJ/Wk:Erw2dYsbRnlDsV7gewKrPOwR","0","Signature verified.","33000000BCE120FDD27CC8EE930000000000BC","E85459B23C232DB3CB94C7A56D47678F58E8E51E","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","ACU","acu.exe","Microsoft (R) Windows (R) Operating System","Contains the Application Container Updater","Microsoft Corporation","10.0.14393.0","10.0.14393.0","Language Neutral","Copyright (c) Microsoft Corporation. All rights reserved.",,,,
"AgentService.exe","C:\Windows\system32\AgentService.exe","D9546C1D46352D55704A3696C8DFF19A","7A9B1728983B37EE2BF4C5ABE28EC271390EC59E","BF7B512F54AE828774094ECA9AA39D50FD5FF9511CA1D140102995C8EC468B11","EF596A10ED4D3A7D7F4C9DBC2B21792931C7F098E16D4928EF8C2ECE6305E0B985CA883D0BF4EDB59470112FCA9110A3","DFD0808A5C40DB6DB6A304952878EEC04F3E3C5FFC163315D0C43626B1EBE437960F9FEE6811BCCBC8EB56FAA43CD5E19FC26B713307AA5A982BFBBE85C221C9","24576:CwYF+IB16g77Rv8ik9qpAv59GlSvBnKouO+1WaZUDJk9X:CwYF+IyI7x4OK59GEKSDJk9","0","Signature verified.","33000001733031072665B8B9B3000000000173","14590DC5C3AAF238FCFD7785B4B93F4071402C34","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","AgentService EXE","AgentService.exe.mui","Microsoft Windows Operating System",,"Microsoft Corporation","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","English (United States)"," Microsoft Corporation. All rights reserved.",,,,
"aitstatic.exe","C:\Windows\system32\aitstatic.exe","901E2BAC6E0292AD04CA8423A3A2C384","65865A3112D6E5BD3444FC5E2995DEE9858E5ED6","19D82DCD19879F157FCDF7FA2380B90A89B8EB09B8ABC732F911032EFEE29FDE","E7F5A07EDC83DA5FDA050A4B46FF22A733D72A7A505FF7CDC8DB0B16760DB436C439B05B191346A69CD59A589A0DB753","DC331F9E98BAED6A34A019171C4BCFEDE22C40F78A930E9AB1984E6BB241885EB98EB5987FED663969746AADBC62CA967A042CA9D7AD9A8784D97F4AA7EEB937","49152:IabKOtEZWV6N82RyvoQ4Q4ullYF5svlRlZaAoTMZmhJv3eEkF/LX:IyKNNYtaAIrAoTMgJvuLX","0","Signature verified.","3300000266BD1580EFA75CD6D3000000000266","A4341B9FD50FB9964283220A36A1EF6F6FAA7840","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Application Impact Telemetry Static Analyzer",,"Microsoft Windows Operating System",,"Microsoft Corporation","10.0.18362.1035 (WinBuild.160101.0800)","10.0.18362.1035","English (United States)"," Microsoft Corporation. All rights reserved.",,,,
"alg.exe","C:\Windows\system32\alg.exe","8FD51B3B35707A66080D7C8CB05E792D","7D3F39EDAB05CD0C3CF112D47008116BCB306B92","FE52F3DC280D208FDDC75F6E3294B8D601E0D86F9BD3DB1ACC8FC296AC74C23B","F20B9BDB519E11D51948CD1E13D5EDD738729B989651F673F063D2FB1918740439970D8749AE8837E4231CC5360CE0A4","05C8E010B82250BD40D66F62CFD514B10257D8FCAD2F399746D28DB094BBE66ED5A053F23F84FCB34C9A5225EDFB897F16C7FB05E9B2324F9A0A95E76A4452AA","1536:DHAOeXaumt+SUcoCL74fzD72RSz5q91F80AfvHK4oismH3:DLfumt/YCLcfPz091FcvqN","0","Signature verified.","33000000BCE120FDD27CC8EE930000000000BC","E85459B23C232DB3CB94C7A56D47678F58E8E51E","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Application Layer Gateway Service","ALG.exe.mui","Microsoft Windows Operating System",,"Microsoft Corporation","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","English (United States)"," Microsoft Corporation. All rights reserved.",,,,
"AppHostRegistrationVerifier.exe","C:\Windows\system32\AppHostRegistrationVerifier.exe","349A75331035C5266DA27BC3AFC552CC","A3E21C10B33DA06D01A81CCED190D0604988A602","3D134E850306AE1DFBCC84F01503A8B63438CE72AAC1C62B9DF420DB28100114","57C8065D4C70FCA582607B976853998E86C21282E005CE26DA1225FD1ADEFF51136051D08DB025BE7ED01B234E42B9E3","927CD86C6ACC82FA508DAED2102BFCD6848843488F376929E5ABA0DE4E386419323761E34D24F639A75EDB9B8D9656FFBAEBF38A32C47E7FFB4450B074BF240B","3072:hExf1PZ2cMzr10kgcye+fP5hP4mxZKG9W:hExfFMnzye+zP48","0","Signature verified.","33000000BCE120FDD27CC8EE930000000000BC","E85459B23C232DB3CB94C7A56D47678F58E8E51E","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","App Uri Handlers Registration Verifier","AppHostNameRegistrationVerifier.exe.mui","Microsoft Windows Operating System",,"Microsoft Corporation","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","English (United States)"," Microsoft Corporation. All rights reserved.",,,,
"appidcertstorecheck.exe","C:\Windows\system32\appidcertstorecheck.exe","C90A66F047631C13630C1891500C9C45","50D8EB1A7C1C450FD7F9CF6789B6BB84A80F04B7","90BE9841349DF2465522A3B8F1404CA886E227C87BB9C986DBF98935CC72B5DB","7899AB18CA20C9EC10F76FCE916C4B31A9FE2649D9911C4CDCF3EFAA026B7D4CC90D875F6A0BD2FC61585F9D143056ED","280FBFDCF0C235B30E9BDC7052AB86D77CEC914E39B5CC183A8B45BD429FA3E983D59F7DFFFB1B1B79D6999D9B24E0A8C0676B7A03DD01A8B247C3967FBB71BE","384:o2PV3ZVoFGq0kYg23HdRoGPYMOvUVXUQ32MOX4xxBPD+9BqWbaK1W:o8VpVoFGq8hRoYOzE24zPDqBPaK","0","Signature verified.","33000001733031072665B8B9B3000000000173","14590DC5C3AAF238FCFD7785B4B93F4071402C34","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","AppID Certificate Store Verification Task","AppIDCertstoreCheck.exe","Microsoft Windows Operating System",,"Microsoft Corporation","10.0.14393.1198 (rs1_release_sec.170427-1353)","10.0.14393.1198","English (United States)"," Microsoft Corporation. All rights reserved.",,,,
"appidpolicyconverter.exe","C:\Windows\system32\appidpolicyconverter.exe","5207A6FB31CAF328C3461DA0D7AD01E1","9AB86C353D5B46906EAE90E1EF6003B82EAC6CD0","AB4692F6CCACF20BF82675AD415A5E3AD1C3FD0C5526666661E060835EDCC33F","9BE17CC2FFB1BBF344E798C682188076054A71398A53BE4BCE879074C92FE193BDF52AC786D8BDA22B205FCB013A91E9","45A0A6650600A9D992C14369AD5FF173C3C8C5618F3D1C1A0130DABA25D5D2A0BB4180F11EFBAD2E9ADA7F61F4F85BCAE37C0FF238972D4924EEE2A31AF3CD08","3072:Z5i7J6W7X30gb8Z6Q3jT2Um1QVzeebBLN4VocqnwBg5RFuhBkCyN:ZkBn0gRb1yjbBZ4Vo0gbAhBkC","0","Signature verified.","33000001733031072665B8B9B3000000000173","14590DC5C3AAF238FCFD7785B4B93F4071402C34","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","AppID Policy Converter Task","AppIDPolicyConverter.exe","Microsoft Windows Operating System",,"Microsoft Corporation","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","English (United States)"," Microsoft Corporation. All rights reserved.",,,,
"appidtel.exe","C:\Windows\system32\appidtel.exe","3A28AC2A5D214F9F8071D094045DACDC","DD5B6632C3ED0AFBA5EDFAC323A0699EE8AE5851","C8F93FFEE5E0E267E1D2225EF73D6B6B938CC7E6A0907645CF955EBE6163EDC8","2BF2BDBC7D9D8A590E1F648E6EF3D8DD5060429D85909622519D9E3BAB5DC358E64A08F6D81EC77483C632DB2ED55196","B8BBEDBAE100ABA4C05ABEDF3EC83C3B637A736434039508B5B4001ACD9D6B47D7A9C5A3C9D80F16C32728763197B67194944826A238385703CB18499443EC5C","384:qnWST+GxWkh9zKf77M3I5TaC1oAD7v/F4TzIpncul2R5FSWrMF1u3+4KQTge0Ws1:AT+qv8779513v/Gzml05Fo3L4bq","0","Signature verified.","33000001733031072665B8B9B3000000000173","14590DC5C3AAF238FCFD7785B4B93F4071402C34","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Initializes Appid ManagedInstaller and Smartscreen Telemetry","APPIDTEL.EXE","Microsoft Windows Operating System",,"Microsoft Corporation","1.00 (rs1_release_d.170807-1806)","10.0.14393.1613","English (United States)"," Microsoft Corporation. All rights reserved.",,,,
"ApplicationFrameHost.exe","C:\Windows\system32\ApplicationFrameHost.exe","654D3D69623B9DD7AF410C360AB12136","0C2FE933ABB71C8D97082AE6D732D49B0B01BE15","1149BA08C3C39E66F8D56898C809FFF97AD5693C686D820FC5301F6113ED9B9B","73104E7153810897F799E53BDF1AD9895EE153BA43EE47AEF578B1322C020E671682CEF25194DC3915FC5840BE531190","97F180AD8A669F4C1371661CDB2BA17CCD6432A5A87350D8B7D3681A715F1F77955109A03F3B0A252AD54D350112DC4D12597D97EBE1DD2CABEBC08CFA8CBFA8","768:x5QhpssSBRpXH769rXsAq9COl0DOg6LtseT2OwRX1PCarx:xwp3sXHI5O+DnCtsevwRlPnrx","0","Signature verified.","33000000BCE120FDD27CC8EE930000000000BC","E85459B23C232DB3CB94C7A56D47678F58E8E51E","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Application Frame Host","ApplicationFrameHost.exe","Microsoft Windows Operating System",,"Microsoft Corporation","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","English (United States)"," Microsoft Corporation. All rights reserved.",,,,
"ApplySettingsTemplateCatalog.exe","C:\Windows\system32\ApplySettingsTemplateCatalog.exe","6E5E4A7013022C59461E01487487AE39","4C9E02ED058D5DD1FF8790C6669BF73A3687E8F2","A6B2BC0DE4FA4DB587FE4FA0B9BA368904BA14508D61802988F5933CE4678671","BE331C1C2C04238495192D8A37006E6AF46331315070F37C45E55C9BD21B12C5231AEC1950670DA619DD6047263BF99E","2B4FED15EA38EAEC61A57CE0D8872F310297B059AA6E6FDDDEB49BB014FF82B5474BE2F528603E4CA32002703A1D906FCBBC8879284CBF38237FB23858B740E5","24576:X0KdFOSqr40VzK9a8C5vtsBQlU8STQ/jTuI8G26crjGEzq9yiXlM:RfOSqFZK9St47q3Xl","0","Signature verified.","3300000266BD1580EFA75CD6D3000000000266","A4341B9FD50FB9964283220A36A1EF6F6FAA7840","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","ApplySettingsTemplateCatalog EXE","ApplySettingsTemplateCatalog.exe","Microsoft Windows Operating System",,"Microsoft Corporation","10.0.14393.3471 (rs1_release_1.191218-1729)","10.0.14393.3471","English (United States)"," Microsoft Corporation. All rights reserved.",,,,
